,id_ap,ap_isu_id,title_ap,year,qualification,id_direction,title_direction,number_direction,structural_unit,on_check,laboriousness,loading_datetime
119,6925,13300,Технологии защиты информации,2020,bachelor,15749,Конструирование и технология электронных средств,11.03.03,,in_work,549,2023-10-05 16:38:20.025282
120,6926,13299,Программирование в инфокоммуникационных системах,2020,bachelor,15748,Инфокоммуникационные технологии и системы связи,11.03.02,,in_work,515,2023-10-05 16:38:27.255784
121,6927,13264,Фотоника и оптоинформатика,2020,bachelor,15754,Фотоника и оптоинформатика,12.03.03,,in_work,621,2023-10-05 16:38:37.752427
122,6930,13309,Технологии разработки компьютерных игр,2020,master,15744,Прикладная информатика,09.04.03,,in_work,135,2023-10-05 16:38:41.174563
123,6931,13369,Пищевая биотехнология,2020,master,15783,Биотехнология,19.04.01,,in_work,150,2023-10-05 16:38:45.176253
124,6844,17730,Оптико-электронные информационно-измерительные приборы и системы,2018,specialist,15762,Электронные и оптико-электронные приборы и системы специального назначения,12.05.01,,in_work,401,2023-10-05 16:38:48.762477
125,6932,13313,Финансовые технологии больших данных,2020,master,15750,Инфокоммуникационные технологии и системы связи,11.04.02,,in_work,150,2023-10-05 16:38:52.305981
126,6933,13324,Программное обеспечение интеллектуальных систем и технологий,2020,master,15742,Информатика и вычислительная техника,09.04.01,,in_work,138,2023-10-05 16:38:55.877946
127,6934,13308,Мобильные и сетевые технологии,2020,master,15744,Прикладная информатика,09.04.03,,in_work,150,2023-10-05 16:38:59.356216
128,6935,13346,Радиочастотные системы и устройства,2020,master,15774,Техническая физика,16.04.01,,in_work,135,2023-10-05 16:39:02.712049
129,6936,13319,"Мультимедиа-технологии, дизайн и юзабилити",2020,master,15745,Программная инженерия,09.04.04,,in_work,149,2023-10-05 16:39:06.318032
130,6937,13335,Интеллектуальные технологии в телекоммуникациях,2020,master,15750,Инфокоммуникационные технологии и системы связи,11.04.02,,in_work,240,2023-10-05 16:39:10.276049
131,6938,13338,Квантовые коммуникации и фемтотехнологии,2020,master,15759,Фотоника и оптоинформатика,12.04.03,,in_work,174,2023-10-05 16:39:13.932761
132,6939,13358,Электроинженерия,2020,master,15765,Электроэнергетика и электротехника,13.04.02,,in_work,135,2023-10-05 16:39:17.560804
133,6940,13304,Программирование и искусственный интеллект,2020,master,15735,Прикладная математика и информатика,01.04.02,,in_work,135,2023-10-05 16:39:20.981363
134,6941,13320,Нейротехнологии и программная инженерия,2020,master,15745,Программная инженерия,09.04.04,,in_work,136,2023-10-05 16:39:24.524432
135,6942,13347,Физика и технология наноструктур,2020,master,15759,Фотоника и оптоинформатика,12.04.03,,in_work,154,2023-10-05 16:39:27.940834
136,6943,13303,Математическое и компьютерное моделирование,2020,master,15735,Прикладная математика и информатика,01.04.02,,in_work,135,2023-10-05 16:39:31.266134
137,6944,13331,Речевые информационные системы,2020,master,15809,Информационные системы и технологии,09.04.02,,in_work,136,2023-10-05 16:39:34.953834
138,6945,13332,Материалы фотоники,2020,master,15774,Техническая физика,16.04.01,,in_work,201,2023-10-05 16:39:39.130023
139,6946,13317,Проектирование киберфизических систем защиты информации,2020,master,15751,Конструирование и технология электронных средств,11.04.03,,in_work,135,2023-10-05 16:39:42.569106
140,6947,13330,Оптико-цифровые системы,2020,master,15758,Оптотехника,12.04.02,,in_work,135,2023-10-05 16:39:46.121447
141,6948,13328,Программирование и интернет-технологии,2020,master,15809,Информационные системы и технологии,09.04.02,,in_work,135,2023-10-05 16:39:49.484696
142,6949,13363,Светодиодные технологии и оптоэлектроника,2020,master,15774,Техническая физика,16.04.01,,in_work,144,2023-10-05 16:39:53.232420
143,6950,13329,Технологии промышленного программирования,2020,master,15745,Программная инженерия,09.04.04,,in_work,139,2023-10-05 16:39:56.746830
144,6951,13266,Программирование и интернет-технологии,2020,bachelor,15739,Информационные системы и технологии,09.03.02,,in_work,527,2023-10-05 16:40:01.818798
145,6952,13323,Программное обеспечение радиоэлектронных систем,2020,master,15745,Программная инженерия,09.04.04,,in_work,135,2023-10-05 16:40:05.287816
146,6953,13302,Большие данные и машинное обучение,2020,master,15735,Прикладная математика и информатика,01.04.02,,in_work,180,2023-10-05 16:40:09.126041
147,6954,13339,Проектирование тепломассообменного оборудования и систем жизнеобеспечения,2020,master,15775,"Холодильная, криогенная техника и системы жизнеобеспечения",16.04.03,,in_work,135,2023-10-05 16:40:12.622399
148,6955,13348,Функциональная безопасность беспилотных транспортных средств,2020,master,15788,Эксплуатация транспортно-технологических машин и комплексов,23.04.03,,in_work,135,2023-10-05 16:40:16.036604
149,6956,13326,Системное и прикладное программное обеспечение,2020,master,15745,Программная инженерия,09.04.04,,in_work,196,2023-10-05 16:40:19.863533
150,6957,13349,Техника и технологии сжиженного природного газа,2020,master,15775,"Холодильная, криогенная техника и системы жизнеобеспечения",16.04.03,,in_work,165,2023-10-05 16:40:23.340164
151,6958,13322,Системы и технологии цифрового производства,2020,master,15757,Приборостроение,12.04.01,,in_work,204,2023-10-05 16:40:27.057552
152,6959,13336,Прикладная оптика,2020,master,15758,Оптотехника,12.04.02,,in_work,225,2023-10-05 16:40:31.432410
153,6960,13357,"Биотехнология напитков, хлеба и кондитерских изделий",2020,master,15783,Биотехнология,19.04.01,,in_work,150,2023-10-05 16:40:34.902867
154,6961,13316,Компьютерные системы и технологии,2020,master,15742,Информатика и вычислительная техника,09.04.01,,in_work,192,2023-10-05 16:40:38.639902
155,6962,13318,Индустриальные киберфизические системы,2020,master,15770,Автоматизация технологических процессов и производств,15.04.04,,in_work,162,2023-10-05 16:40:42.298522
156,6963,13334,Цифровые геотехнологии,2020,master,15809,Информационные системы и технологии,09.04.02,,in_work,135,2023-10-05 16:40:45.573863
157,6964,13366,Низкотемпературная и глубокая обработка биологических систем,2020,master,15783,Биотехнология,19.04.01,,in_work,129,2023-10-05 16:40:49.063365
158,6965,13355,Лазерные технологии,2020,master,15761,Лазерная техника и лазерные технологии,12.04.05,,in_work,156,2023-10-05 16:40:52.517392
159,6966,13368,Физика полупроводников,2020,master,15774,Техническая физика,16.04.01,,in_work,135,2023-10-05 16:40:56.219679
160,6967,13353,Системы управления движением и навигация,2020,master,15791,Системы управления движением и навигация,24.04.02,,in_work,156,2023-10-05 16:40:59.656058
161,6968,13314,Автоматизация технологических процессов и производств пищевой промышленности,2020,master,15770,Автоматизация технологических процессов и производств,15.04.04,,in_work,135,2023-10-05 16:41:03.065221
162,6969,13333,Информационная безопасность,2020,master,15747,Информационная безопасность,10.04.01,,in_work,300,2023-10-05 16:41:07.307712
