,0
51,"[(92883380, 3825832), (92883380, 4429713), (92883380, 4838616), (92883380, 5091305), (92883380, 5346463), (92883380, 12123179), (92883380, 13393523), (92883380, 22543203), (92883380, 41812496), (92883380, 71259054)]"
52,"[(195121021, 38523517), (195121021, 151173968), (195121021, 177536130), (195121021, 188845476), (195121021, 200376650), (195121021, 237211429), (195121021, 253230238), (195121021, 332322093)]"
53,"[(267742424, 4722154), (267742424, 6101480), (267742424, 17381757), (267742424, 28488920), (267742424, 44035625), (267742424, 53873283), (267742424, 177823446)]"
54,"[(140646921, 28585046), (140646921, 200773981), (140646921, 242831018), (140646921, 249104336), (140646921, 444948234)]"
55,"[(25014358, 11804621), (25014358, 13771802), (25014358, 16432467), (25014358, 28725252), (25014358, 64161660), (25014358, 122039339), (25014358, 169340263), (25014358, 225695577)]"
56,"[(215311071, 16704712), (215311071, 75417308), (215311071, 125487326), (215311071, 142778126), (215311071, 183596822), (215311071, 203278551), (215311071, 211299847), (215311071, 222630032), (215311071, 235559545), (215311071, 248800947), (215311071, 267725621), (215311071, 324858639), (215311071, 434219754)]"
57,"[(66340035, 9340536), (66340035, 11214085), (66340035, 18528530), (66340035, 72611325)]"
58,"[(175888991, 38936352), (175888991, 57840704), (175888991, 68030864), (175888991, 76787089), (175888991, 84035439), (175888991, 139673297), (175888991, 161372691), (175888991, 189048270), (175888991, 206452363), (175888991, 216337589), (175888991, 229907942), (175888991, 359282330), (175888991, 404176660), (175888991, 489902210)]"
59,"[(26374068, 1791064), (26374068, 4772305), (26374068, 7931145), (26374068, 10458978), (26374068, 11109163), (26374068, 12964636), (26374068, 13412755), (26374068, 15026291), (26374068, 15899640), (26374068, 16574123), (26374068, 20460750), (26374068, 20826432), (26374068, 29275279), (26374068, 30303639), (26374068, 36885276), (26374068, 75354902), (26374068, 94576892), (26374068, 130236172), (26374068, 164500230)]"
60,"[(18376799, 26693465), (18376799, 31478404), (18376799, 37755916), (18376799, 42915177), (18376799, 44817219), (18376799, 74932263), (18376799, 83726407), (18376799, 93503652), (18376799, 98944965), (18376799, 127978616), (18376799, 147875011), (18376799, 183955082), (18376799, 206823010), (18376799, 214152540), (18376799, 219900006), (18376799, 222320675), (18376799, 252362146), (18376799, 266835775), (18376799, 283349935), (18376799, 298598105), (18376799, 299852411), (18376799, 318667921), (18376799, 373974229)]"
61,"[(243633271, 7914327), (243633271, 11393272), (243633271, 12841776), (243633271, 17291889), (243633271, 17877143), (243633271, 19762506), (243633271, 20265485), (243633271, 23728647), (243633271, 26208055), (243633271, 67569993), (243633271, 85626644), (243633271, 149069561), (243633271, 153577611), (243633271, 168437230), (243633271, 221401065), (243633271, 229890086), (243633271, 234949757)]"
62,"[(19081579, 36330), (19081579, 208956), (19081579, 233283), (19081579, 401049), (19081579, 589003), (19081579, 956495), (19081579, 1074205), (19081579, 1797227), (19081579, 3929837), (19081579, 4052894), (19081579, 4280812), (19081579, 4713641), (19081579, 5376749), (19081579, 5476907), (19081579, 5861587), (19081579, 7925682), (19081579, 8430428), (19081579, 10109986), (19081579, 18925586), (19081579, 21662972), (19081579, 22030716), (19081579, 36448068), (19081579, 38313494), (19081579, 49752003), (19081579, 60734830), (19081579, 104444531), (19081579, 131532082), (19081579, 146639071), (19081579, 206186029), (19081579, 212268423)]"
63,"[(184846072, 153809275), (184846072, 185535522), (184846072, 217707874), (184846072, 252977301), (184846072, 266972083), (184846072, 319345768), (184846072, 611894913)]"
64,"[(136565228, 31150912), (136565228, 51052684), (136565228, 117485562), (136565228, 139144158), (136565228, 167494902), (136565228, 192582490)]"
65,"[(96185584, 31235598), (96185584, 48103506), (96185584, 52774334), (96185584, 56262731), (96185584, 63217421), (96185584, 73565626), (96185584, 102164986), (96185584, 127707450), (96185584, 156410896), (96185584, 207696049), (96185584, 226166644), (96185584, 344708251)]"
